id_mutation,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,code_postal,latitude,longitude,type_local,arrondissement,price_per_m2,distance_to_center,neighborhood_cluster,month
2024-1182239,200000.0,30.0,2.0,75018,48.887848,2.35593,Appartement,18,6666.666666666667,3.899118439277237,0,1
2024-1182240,289000.0,33.0,2.0,75018,48.891505,2.361947,Appartement,18,8757.575757575758,4.369809961827286,0,1
2024-1182241,185000.0,21.0,2.0,75020,48.86575,2.398093,Appartement,20,8809.52380952381,3.793205880365301,8,1
2024-1182242,193000.0,26.0,2.0,75018,48.891215,2.360344,Appartement,18,7423.076923076923,4.316134349317792,0,1
2024-1182243,320000.0,46.0,2.0,75010,48.873865,2.352405,Appartement,10,6956.521739130435,2.3267426245880776,0,1
2024-1182244,745000.0,37.0,1.0,75018,48.890779,2.359284,Appartement,18,20135.135135135137,4.255356214164903,0,1
2024-1182245,100000.0,14.0,1.0,75002,48.870678,2.342328,Appartement,2,7142.857142857143,2.0442522329695114,0,1
2024-1182246,105000.0,11.0,1.0,75018,48.891265,2.331502,Appartement,18,9545.454545454546,4.464782726400164,4,1
2024-1182248,105000.0,14.0,1.0,75017,48.892486,2.318114,Appartement,17,7500.0,4.971532096979296,4,1
2024-1182249,356521.75,29.0,2.0,75003,48.867544,2.356315,Appartement,3,12293.853448275862,1.681908563619136,7,1
2024-1182251,233000.0,28.0,1.0,75020,48.872122,2.386413,Appartement,20,8321.42857142857,3.408246033104676,8,1
2024-1182253,110000.0,11.0,1.0,75020,48.853129,2.40988,Appartement,20,10000.0,4.381168041479265,2,1
2024-1182255,300000.0,35.0,2.0,75010,48.872636,2.375124,Appartement,10,8571.42857142857,2.853949796665087,8,1
2024-1182256,249000.0,22.0,2.0,75020,48.855573,2.404826,Appartement,20,11318.181818181818,4.021458985726791,2,1
2024-1182257,285000.0,61.0,2.0,75010,48.872577,2.349327,Appartement,10,4672.131147540984,2.177419695772915,0,1
2024-1182258,113000.0,12.0,1.0,75017,48.883727,2.292583,Appartement,17,9416.666666666666,5.413948722054771,9,1
2024-1182259,400000.0,40.0,2.0,75010,48.875616,2.37073,Appartement,10,10000.0,2.936587098253792,7,1
2024-1182260,190230.0,13.0,1.0,75018,48.883147,2.340089,Appartement,18,14633.076923076924,3.4296817742762244,0,1
2024-1182261,300000.0,56.0,3.0,75018,48.89717,2.345397,Appartement,18,5357.142857142857,4.9230027555096925,0,1
2024-1182263,255000.0,22.0,2.0,75010,48.871241,2.359747,Appartement,10,11590.90909090909,2.1499807368734887,7,1
2024-1182265,519000.0,71.0,2.0,75018,48.890858,2.348157,Appartement,18,7309.859154929577,4.211775033347097,0,1
2024-1182266,252000.0,28.0,1.0,75010,48.879425,2.369035,Appartement,10,9000.0,3.2515171213451173,7,1
2024-1182267,400000.0,35.0,2.0,75018,48.891342,2.344032,Appartement,18,11428.57142857143,4.285720961408042,0,1
2024-1182271,415000.0,30.0,2.0,75020,48.859729,2.40454,Appartement,20,13833.333333333334,4.059725565580889,2,1
